product_name,product_type,brand,brand_tier,price,price_segment,num_ingredients,num_skin_types,num_effects,complexity_score,has_key_active,skin_dry,skin_sensitive,skin_acne_prone,skin_oily,skin_combination,skin_normal,effect_hydrating,effect_barrier_repair,effect_soothing,effect_sun_protection,effect_acne_control,effect_brightening,effect_exfoliating,effect_anti-aging,effect_anti_aging,effect_general_skincare,product_cluster
CeraVe Moisturising Cream 50ml,Moisturiser,CeraVe,Budget,4.0,Budget,23,2,2,0.3090850722311396,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CeraVe Moisturising Cream 340g,Moisturiser,CeraVe,Budget,13.0,Affordable,23,2,2,0.3090850722311396,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
First Aid Beauty Ultra Repair Cream (56.7g),Moisturiser,First Aid Beauty,Mid-range,12.0,Affordable,23,2,3,0.3519422150882825,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),Moisturiser,Avène,Budget,16.0,Affordable,30,1,2,0.280545746388443,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,Moisturiser,Clinique,Mid-range,30.0,Mid-range,21,1,1,0.19723916532905297,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
First Aid Beauty Ultra Repair Cream (170g),Moisturiser,First Aid Beauty,Mid-range,25.0,Affordable,23,2,3,0.3519422150882825,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Weleda Skin Food (75ml),Moisturiser,Weleda,Budget,12.95,Affordable,21,3,1,0.317239165329053,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Neutrogena Hydro Boost City Shield SPF Moisturiser,Moisturiser,Neutrogena,Budget,12.99,Affordable,25,2,3,0.3609309791332263,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Egyptian Magic All Purpose Skin Cream 118ml/4oz,Moisturiser,Egyptian Magic,Mid-range,30.0,Mid-range,6,1,1,0.1298234349919743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
JASON Aloe Vera 98% Moisturising Gel Tube 113g,Moisturiser,JASON,Budget,2.99,Budget,13,2,2,0.2641412520064205,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CeraVe Moisturising Cream 177ml,Moisturiser,CeraVe,Budget,9.0,Budget,23,2,2,0.3090850722311396,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Embryolisse Lait-Crème Concentré (75ml),Moisturiser,Embryolisse,Budget,20.0,Affordable,17,1,2,0.22211878009630814,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
La Roche-Posay Effaclar H Moisturiser 40ml,Moisturiser,La Roche-Posay,Mid-range,9.99,Budget,27,1,3,0.30991974317817017,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Bulldog Original Moisturiser 100ml,Moisturiser,Bulldog,Budget,4.5,Budget,34,1,1,0.2556661316211878,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clinique Dramatically Different Moisturising Gel 125ml with Pump,Moisturiser,Clinique,Mid-range,30.0,Mid-range,32,1,1,0.24667736757624398,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Roche-Posay Effaclar Duo+ SPF30 40ml,Moisturiser,La Roche-Posay,Mid-range,17.5,Affordable,13,4,4,0.4698555377207062,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1
Avene Very High Protection B-Protect SPF 50+ 30ml,Moisturiser,Avene,Budget,14.0,Affordable,39,1,4,0.40670947030497595,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Avène Tolérance Extrême Emulsion 50ml,Moisturiser,Avène,Budget,11.25,Affordable,5,1,1,0.1253290529695024,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,Moisturiser,Estée Lauder,Premium,40.5,Mid-range,75,2,3,0.5856500802568219,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Embryolisse Lait-Crème Concentré (30ml),Moisturiser,Embryolisse,Budget,13.0,Affordable,17,1,2,0.22211878009630814,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
The Chemistry Brand Intense Youth Complex Hand Cream 100ml,Moisturiser,The Chemistry Brand,Mid-range,18.99,Affordable,39,1,2,0.3209951845906902,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Avène Tolérance Extrême Cream 50ml,Moisturiser,Avène,Budget,15.0,Affordable,6,1,1,0.1298234349919743,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,Moisturiser,La Roche-Posay,Mid-range,19.0,Affordable,23,5,5,0.6176565008025682,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
First Aid Beauty Hello FAB Coconut Water Cream,Moisturiser,First Aid Beauty,Mid-range,30.0,Mid-range,28,1,1,0.22869983948635633,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
Elemis Pro-Collagen Marine Cream SPF30 50ml,Moisturiser,Elemis,Premium,87.0,Premium,47,2,5,0.545521669341894,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
Avène Aqua Gel 50ml,Moisturiser,Avène,Budget,20.0,Affordable,26,1,2,0.26256821829855537,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
La Roche-Posay Effaclar K(+) Anti-Blackhead Moisturiser 40ml,Moisturiser,La Roche-Posay,Mid-range,17.0,Affordable,23,4,3,0.4719422150882825,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
The INKEY List Snow Mushroom,Moisturiser,The INKEY List,Budget,9.99,Budget,13,1,1,0.16128410914927768,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Weleda Skin Food (30ml),Moisturiser,Weleda,Budget,7.95,Budget,21,3,1,0.317239165329053,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Egyptian Magic All Purpose Skin Cream 59ml/2oz,Moisturiser,Egyptian Magic,Mid-range,20.0,Affordable,6,1,1,0.1298234349919743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
La Roche-Posay Nutritic Intense Rich 50ml,Moisturiser,La Roche-Posay,Mid-range,18.0,Affordable,21,4,3,0.4629534510433387,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,Moisturiser,Origins,Mid-range,32.0,Mid-range,69,3,4,0.6615409309791332,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,Moisturiser,Estée Lauder,Premium,25.2,Mid-range,75,2,3,0.5856500802568219,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Elizabeth Arden Eight Hour Great 8 Daily Defense Moisturizer 45ml,Moisturiser,Elizabeth Arden,Premium,36.0,Mid-range,26,2,3,0.36542536115569824,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Skin Doctors Sd White & Bright (50ml),Moisturiser,Skin Doctors,Mid-range,21.99,Affordable,27,2,3,0.3699197431781701,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2
Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,Moisturiser,Origins,Mid-range,25.0,Affordable,53,4,5,0.6924879614767255,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),Moisturiser,Elizabeth Arden,Premium,28.0,Mid-range,17,4,2,0.40211878009630814,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
PRAI AGELESS Throat & Decolletage Crème 50ml,Moisturiser,PRAI,Mid-range,24.99,Affordable,37,1,3,0.35486356340288927,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,Moisturiser,La Roche-Posay,Mid-range,16.5,Affordable,9,4,2,0.3661637239165329,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
La Roche-Posay Effaclar MAT+ 40ml,Moisturiser,La Roche-Posay,Mid-range,17.0,Affordable,27,4,4,0.5327768860353129,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1
Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,Moisturiser,Mama Mio,Mid-range,24.0,Affordable,34,1,3,0.34138041733547353,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,Moisturiser,Clinique,Mid-range,37.0,Mid-range,34,1,2,0.29852327447833066,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
Elemis Pro-Collagen Marine Cream 50ml,Moisturiser,Elemis,Premium,87.0,Premium,37,1,3,0.35486356340288927,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
La Roche-Posay Toleriane Ultra Fluid 40ml,Moisturiser,La Roche-Posay,Mid-range,18.5,Affordable,15,1,3,0.2559871589085072,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,Moisturiser,Clinique,Mid-range,12.0,Affordable,34,1,2,0.29852327447833066,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
Clinique for Men Moisturising Lotion 100ml,Moisturiser,Clinique,Mid-range,25.4,Mid-range,21,1,1,0.19723916532905297,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bulldog Oil Control Moisturiser 100ml,Moisturiser,Bulldog,Budget,4.5,Budget,23,1,2,0.24908507223113963,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bulldog Age Defence Moisturiser 100ml,Moisturiser,Bulldog,Budget,6.75,Budget,23,1,2,0.24908507223113963,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The INKEY List Multi-Biotic Moisturiser 30ml,Moisturiser,The INKEY List,Budget,12.99,Affordable,29,1,4,0.3617656500802568,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Caudalie Vinosource Moisturising Sorbet 40ml,Moisturiser,Caudalie,Mid-range,23.0,Affordable,33,1,4,0.37974317817014447,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml,Moisturiser,Neutrogena,Budget,5.24,Budget,31,4,4,0.5507544141252007,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1
The INKEY List Turmeric Moisturiser 30ml,Moisturiser,The INKEY List,Budget,7.99,Budget,18,1,1,0.18375601926163723,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml,Moisturiser,The Ordinary,Budget,6.1,Budget,4,1,1,0.12083467094703049,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
La Roche-Posay Toleriane Sensitive Moisturiser 40ml,Moisturiser,La Roche-Posay,Mid-range,16.5,Affordable,9,4,2,0.3661637239165329,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
Avene Hydrance Hydrating Cream 40ml,Moisturiser,Avene,Budget,15.5,Affordable,24,1,2,0.25357945425361156,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,Moisturiser,Caudalie,Mid-range,34.0,Mid-range,37,2,3,0.4148635634028892,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
L'Oréal Men Expert Pure & Matte Anti-Shine Moisturising Gel (50ml),Moisturiser,L'Oréal,Budget,4.99,Budget,19,1,1,0.18825040128410914,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,Moisturiser,Estée Lauder,Premium,44.1,Mid-range,50,1,3,0.4132905296950241,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
The Chemistry Brand Heel Hydration Complex 100ml,Moisturiser,The Chemistry Brand,Mid-range,14.99,Affordable,40,1,2,0.3254895666131621,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),Moisturiser,Elizabeth Arden,Premium,30.0,Mid-range,24,2,3,0.35643659711075437,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,Moisturiser,Antipodes,Premium,25.58,Mid-range,30,1,2,0.280545746388443,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50ml),Moisturiser,L'Oréal,Budget,7.49,Budget,37,2,3,0.4148635634028892,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Bulldog Sensitive Moisturiser 100ml,Moisturiser,Bulldog,Budget,4.5,Budget,22,1,1,0.20173354735152485,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dr.Jart+ Ceramidin Cream 50ml,Moisturiser,Dr.Jart+,Mid-range,35.5,Mid-range,61,2,3,0.5227287319422151,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
"
Erno Laszlo Phelityl Night Cream 50ml",Moisturiser,Erno Laszlo,Premium,135.0,Luxury,27,1,1,0.22420545746388443,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Antipodes Avocado Pear Nourishing Night Cream 60ml,Moisturiser,Antipodes,Premium,34.99,Mid-range,29,1,3,0.3189085072231139,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Fade Out ADVANCED Even Skin Tone Night Cream 50ml,Moisturiser,Fade Out,Budget,9.99,Budget,34,5,4,0.6242375601926163,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
NIOD Hydration Vaccine Face Cream 50ml,Moisturiser,NIOD,Premium,35.0,Mid-range,42,1,3,0.37733547351524876,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
The INKEY List Peptide Moisturizer 50ml,Moisturiser,The INKEY List,Budget,14.99,Affordable,22,1,3,0.28744783306581057,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,Moisturiser,Clinique,Mid-range,37.0,Mid-range,34,1,4,0.38423756019261635,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Clinique Moisture Surge 72-Hour Auto Replenishing Hydrator 30ml,Moisturiser,Clinique,Mid-range,25.0,Affordable,35,1,2,0.3030176565008026,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive,Moisturiser,L'Oréal,Budget,13.99,Affordable,34,1,2,0.29852327447833066,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Murad Hydro-Dynamic™ Ultimate Moisture (50ml),Moisturiser,Murad,Premium,60.0,Premium,52,2,4,0.5251364365971107,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Clinique Redness Solutions Daily Relief Cream 50ml,Moisturiser,Clinique,Mid-range,42.0,Mid-range,55,4,5,0.7014767255216693,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
DECLÉOR Hydra Floral Anti-Pollution Hydrating Rich Cream,Moisturiser,DECLÉOR,Premium,32.2,Mid-range,47,2,3,0.4598073836276083,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Elemis Pro-Collagen Oxygenating Night Cream 50ml,Moisturiser,Elemis,Premium,99.0,Premium,39,1,4,0.40670947030497595,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Weleda Skin Food 75ml - Light,Moisturiser,Weleda,Budget,12.95,Affordable,22,1,3,0.28744783306581057,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml,Moisturiser,Clinique,Mid-range,30.0,Mid-range,44,3,3,0.5063242375601926,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
The INKEY List Bakuchiol Moisturiser 30ml,Moisturiser,The INKEY List,Budget,9.99,Budget,18,1,2,0.22661316211878008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
COSRX Advanced Snail 92 All in One Cream 100ml,Moisturiser,COSRX,Mid-range,27.0,Mid-range,18,2,3,0.32947030497592295,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
bareMinerals Butter Drench Intense Moisurising Day Cream,Moisturiser,REN,Premium,32.0,Mid-range,48,2,4,0.5071589085072231,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Eucerin Anti-Pigment SPF30 Day Cream 50ml,Moisturiser,Eucerin,Mid-range,25.0,Affordable,30,2,4,0.42626003210272867,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Clinique for Men Oil-Control Moisturiser 100ml,Moisturiser,Clinique,Mid-range,25.5,Mid-range,32,1,1,0.24667736757624398,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sukin Sensitive Facial Moisturiser (125ml),Moisturiser,Sukin,Budget,7.95,Budget,19,1,2,0.231107544141252,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Fade Out ADVANCED Even Skin Tone Day Cream SPF 25 50ml,Moisturiser,Fade Out,Budget,9.99,Budget,34,5,5,0.6670947030497593,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1
First Aid Beauty Coconut Skin Smoothie Priming Moisturiser,Moisturiser,First Aid Beauty,Mid-range,20.5,Affordable,43,3,3,0.5018298555377207,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
Avène Rich Revitalizing Nourishing Cream 50ml,Moisturiser,Avène,Budget,17.5,Affordable,31,1,3,0.3278972712680578,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
REN Clean Skincare Evercalm Global Protection Day Cream,Moisturiser,REN,Premium,34.0,Mid-range,33,1,3,0.3368860353130016,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Fade Out ADVANCED + Age Protection Even Skin Tone Day Cream SPF 25 50ml,Moisturiser,Fade Out,Budget,12.99,Affordable,36,5,5,0.676083467094703,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1
Bulldog Protective Moisturiser 100ml,Moisturiser,Bulldog,Budget,6.75,Budget,34,2,3,0.40138041733547347,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Alpha-H Daily Essential Moisturiser Spf50+ (50ml),Moisturiser,Alpha-H,Premium,29.0,Mid-range,24,3,5,0.5021508828250402,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
Pai Skincare Chamomile and Rosehip Calming Day Cream 50ml,Moisturiser,Pai,Premium,38.0,Mid-range,18,1,3,0.26947030497592295,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml,Moisturiser,Estée Lauder,Premium,40.5,Mid-range,50,2,4,0.5161476725521669,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Liz Earle Skin Repair Light,Moisturiser,Pai,Premium,23.0,Affordable,30,1,2,0.280545746388443,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Elemis Peptide4 Plumping Pillow Facial,Moisturiser,Elemis,Premium,52.0,Premium,36,1,2,0.30751203852327447,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Murad Oil and Pore Control Mattifier SPF45 PA 50ml,Moisturiser,Murad,Premium,35.0,Mid-range,42,5,5,0.7030497592295345,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
Clinique for Men Anti-Age Moisturiser 100ml,Moisturiser,Clinique,Mid-range,32.5,Mid-range,34,1,4,0.38423756019261635,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
AMELIORATE Transforming Body Cream 225ml,Moisturiser,AMELIORATE,Mid-range,27.5,Mid-range,40,2,4,0.47120385232744777,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"JASON Age Renewal Vitamin E 25,000iu Cream (120g)",Moisturiser,REN,Premium,9.99,Budget,20,1,4,0.3213162118780096,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Clinique Smart SPF 15 Custom Repair Moisturiser - Dry to Combination Skin - 50ml,Moisturiser,Clinique,Mid-range,52.0,Premium,54,2,5,0.5769823434991974,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,2
Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint,Moisturiser,Mama Mio,Mid-range,24.0,Affordable,47,1,3,0.3998073836276083,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Neal's Yard Remedies Vitamin E and Avocado Night Cream 50g,Moisturiser,Neal's Yard Remedies,Mid-range,22.0,Affordable,22,1,2,0.2445906902086677,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
First Aid Beauty Ultra Repair Face Moisturiser (50ml),Moisturiser,First Aid Beauty,Mid-range,20.0,Affordable,21,2,3,0.3429534510433387,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Bioderma Hydrabio Gel Cream 40ml,Moisturiser,Bioderma,Budget,15.2,Affordable,29,4,5,0.5846227929373997,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
Estée Lauder NightWear Plus Anti-Oxidant Night Detox Crème 50ml,Moisturiser,Estée Lauder,Premium,44.1,Mid-range,79,1,3,0.5436276083467095,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
The Ordinary 10% Agireline Solution 30ml,Serum,The Ordinary,Budget,5.8,Budget,10,1,3,0.23351524879614766,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,3
The Ordinary Buffet Supersize Serum 60ml,Serum,The Ordinary,Budget,24.4,Affordable,50,2,4,0.5161476725521669,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
The Ordinary 100% Pycnogenol 5% 15ml,Serum,The Ordinary,Budget,8.9,Budget,2,1,1,0.11184590690208668,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
Medik8 C-Tetra Serum 30ml,Serum,Medik8,Premium,35.0,Mid-range,8,1,1,0.13881219903691813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml,Serum,Estée Lauder,Premium,52.2,Premium,39,1,2,0.3209951845906902,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,Serum,Estée Lauder,Premium,70.2,Premium,39,1,2,0.3209951845906902,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
The Ordinary Hyaluronic Acid 2% + B5 Supersize Serum 60ml,Serum,The Ordinary,Budget,11.0,Affordable,18,2,1,0.24375601926163723,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Ordinary Marine Hyaluronics 30ml,Serum,The Ordinary,Budget,6.2,Budget,32,4,4,0.5552487961476725,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
Avene Hydrance Intense Serum 30ml,Serum,Avene,Budget,20.0,Affordable,17,1,2,0.22211878009630814,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml,Serum,VICHY,Mid-range,25.0,Affordable,10,1,1,0.14780096308186194,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Roche-Posay Pure Vitamin C10 Serum 30ml,Serum,La Roche-Posay,Mid-range,38.0,Mid-range,27,4,6,0.6184911717495987,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1
PIXI Overnight Glow Serum,Serum,PIXI,Mid-range,26.0,Mid-range,24,1,3,0.29643659711075443,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 50ml,Serum,Clinique,Mid-range,64.0,Premium,48,4,4,0.6271589085072231,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1
Medik8 Hydr8 B5 Serum 30ml,Serum,Medik8,Premium,40.0,Mid-range,6,2,1,0.1898234349919743,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
